Produktfamilie,Produkttyp,Gewicht,A1-A3,A4,A5,C1,C2,C3,C4,D,A1-A3,A4,A5,C1,C2/1,C3/1,C4/1,D/1
Bandrasterdecken ,LMD-B 100,7.69,20.46,0.07,0.66,0,0.07,0.29,0.02,-12.08,20.46,0.07,0.66,0,0.33,0.29,0,-17.74
Bandrasterdecken ,LMD-B 100,8.53,22.7,0.08,0.73,0,0.07,0.29,0.02,-13.4,22.7,0.08,0.73,0,0.36,0.29,0,-19.67
Bandrasterdecken ,LMD-B 100,6.81,18.12,0.06,0.59,0,0.06,0.29,0.02,-10.7,18.12,0.06,0.59,0,0.29,0.29,0,-15.71
Bandrasterdecken ,LMD-B 100,7.65,20.36,0.07,0.66,0,0.07,0.29,0.02,-12.02,20.36,0.07,0.66,0,0.33,0.29,0,-17.64
Bandrasterdecken ,LMD-B 110,9.17,24.4,0.08,0.79,0,0.08,0.29,0.02,-14.41,24.4,0.08,0.79,0,0.39,0.29,0,-21.15
Bandrasterdecken ,LMD-B 110,11.08,29.48,0.1,0.95,0,0.09,0.29,0.03,-17.41,29.48,0.1,0.95,0,0.47,0.29,0,-25.55
Bandrasterdecken ,LMD-B 110,7.56,20.12,0.07,0.65,0,0.06,0.29,0.02,-11.88,20.12,0.07,0.65,0,0.32,0.29,0,-17.44
Bandrasterdecken ,LMD-B 110,8.94,23.79,0.08,0.77,0,0.08,0.29,0.02,-14.05,23.79,0.08,0.77,0,0.38,0.29,0,-20.62
Deckensegel,LMD-DS 312,9.24,24.59,0.08,0.79,0,0.08,0.29,0.02,-14.52,24.59,0.08,0.79,0,0.39,0.29,0,-21.31
Deckensegel,LMD-DS 312,9.07,24.13,0.08,0.78,0,0.08,0.29,0.02,-14.25,24.13,0.08,0.78,0,0.39,0.29,0,-20.92
Deckensegel,LMD-DS 312,8.99,23.92,0.08,0.77,0,0.08,0.29,0.02,-14.13,23.92,0.08,0.77,0,0.38,0.29,0,-20.73
Deckensegel,LMD-DS 312,8.82,23.47,0.08,0.76,0,0.08,0.29,0.02,-13.86,23.47,0.08,0.76,0,0.38,0.29,0,-20.34
Deckensegel,LMD-DS 313,10.27,27.33,0.09,0.88,0,0.09,0.29,0.02,-16.14,27.33,0.09,0.88,0,0.44,0.29,0,-23.69
Deckensegel,LMD-DS 313,10.9,29,0.1,0.94,0,0.09,0.29,0.03,-17.13,29,0.1,0.94,0,0.46,0.29,0,-25.14
Deckensegel,LMD-DS 313,9.04,24.05,0.08,0.78,0,0.08,0.29,0.02,-14.21,24.05,0.08,0.78,0,0.38,0.29,0,-20.85
